".*","00 14 00 00 01 02","BIOS details in RAM"
".*","FE FF","UTF-16|UCS-2 file"
".*","D4 C3 B2 A1","WinDump (winpcap) capture file"
".*","EF BB BF","UTF8 file"
".*","7F 45 4C 46","ELF executable"
".*","62 70 6C 69 73 74","Binary property list (plist)"
".*","41 43 53 44","AOL parameter|info files"
".*","30 37 30 37 30","cpio archive"
".*","AC ED","Java serialization data"
".*","05 00 00 00","INFO2 Windows recycle bin_2"
".*","04 00 00 00","INFO2 Windows recycle bin_1"
".*","4B 57 41 4A 88 F0 27 D1","KWAJ (compressed) file"
".*","53 5A 20 88 F0 27 33 D1","QBASIC SZDD file"
".*","A1 B2 CD 34","Extended tcpdump (libpcap) capture file"
".*","37 E4 53 96 C9 DB D6 07","zisofs compressed file"
".*","34 CD B2 A1","Tcpdump capture file"
".*","A1 B2 C3 D4","tcpdump (libpcap) capture file"
".*","62 65 67 69 6E","UUencoded file"
".*","6F 3C","SMS text (SIM)"
".*","FF FE 00 00","UTF-32|UCS-4 file"
".*","53 5A 44 44 88 F0 27 33","SZDD file format"
".*","CD 20 AA AA 02 00 00 00","NAV quarantined virus file"
".123","00 00 1A 00 05 10 04","Lotus 1-2-3 (v9)"
".386","4D 5A","Windows virtual device drivers"
".3gp","00 00 00 20 66 74 79 70","3GPP2 multimedia files"
".3gp","00 00 00 14 66 74 79 70","3GPP multimedia files"
".3gp5","00 00 00 18 66 74 79 70","MPEG-4 video files"
".4xm","52 49 46 46","4X Movie video"
".7z","37 7A BC AF 27 1C","7-Zip compressed file"
".aba","00 01 42 41","Palm Address Book Archive"
".abd","51 57 20 56 65 72 2E 20","ABD | QSD Quicken data file"
".abi","41 4F 4C 49 4E 44 45 58","AOL address book index"
".abi","41 4F 4C","AOL config files"
".aby","41 4F 4C 44 42","AOL address book"
".aby","41 4F 4C","AOL config files"
".ac","72 69 66 66","Sonic Foundry Acid Music File"
".accdb","00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42","Microsoft Access 2007"
".acm","4D 5A","MS audio compression manager driver"
".acs","C3 AB CD AB","MS Agent Character file"
".ac_","D0 CF 11 E0 A1 B1 1A E1","CaseWare Working Papers"
".ad","52 45 56 4E 55 4D 3A 2C","Antenna data file"
".adf","44 4F 53","Amiga disk file"
".adp","D0 CF 11 E0 A1 B1 1A E1","Access project file"
".adx","03 00 00 00 41 50 50 52","Approach index file"
".adx","80 00 00 20 03 12 04","Dreamcast audio"
".aiff","46 4F 52 4D 00","Audio Interchange File"
".ain","21 12","AIN Compressed Archive"
".amr","23 21 41 4D 52","Adaptive Multi-Rate ACELP Codec (GSM)"
".ani","52 49 46 46","Windows animated cursor"
".api","4D 5A 90 00 03 00 00 00","Acrobat plug-in"
".apr","D0 CF 11 E0 A1 B1 1A E1","Lotus|IBM Approach 97 file"
".arc","1A 03","LH archive (old vers.|type 2)"
".arc","1A 02","LH archive (old vers.|type 1)"
".arc","1A 09","LH archive (old vers.|type 5)"
".arc","1A 08","LH archive (old vers.|type 4)"
".arc","41 72 43 01","FreeArc compressed file"
".arc","1A 04","LH archive (old vers.|type 3)"
".arj","60 EA","ARJ Compressed archive file"
".arl","D4 2A","AOL history|typed URL files"
".asf","30 26 B2 75 8E 66 CF 11","Windows Media Audio|Video File"
".ast","53 43 48 6C","Underground Audio"
".asx","3C","Advanced Stream Redirector"
".au","2E 73 6E 64","NeXT|Sun Microsystems audio file"
".au","64 6E 73 2E","Audacity audio file"
".aut","D4 2A","AOL history|typed URL files"
".avi","52 49 46 46","Resource Interchange File Format"
".aw","8A 01 09 00 00 00 E1 08","MS Answer Wizard"
".ax","4D 5A","Library cache file"
".ax","4D 5A 90 00 03 00 00 00","DirectShow filter"
".bag","41 4F 4C 20 46 65 65 64","AOL and AIM buddy list"
".bag","41 4F 4C","AOL config files"
".bdr","58 54","MS Publisher"
".bin","42 4C 49 32 32 33 51","Speedtouch router firmware"
".bmp","42 4D","Bitmap image"
".bz2","42 5A 68","bzip2 compressed archive"
".cab","4D 53 43 46","Microsoft cabinet file"
".cab","49 53 63 28","Install Shield compressed file"
".cal","53 75 70 65 72 43 61 6C","SuperCalc worksheet"
".cal","B5 A2 B0 B3 B3 B0 A5 B5","Windows calendar"
".cal","73 72 63 64 6F 63 69 64","CALS raster bitmap"
".cap","58 43 50 00","Packet sniffer files"
".cap","52 54 53 53","WinNT Netmon capture file"
".cas","5F 43 41 53 45 5F","EnCase case file"
".cat","30","MS security catalog file"
".cbd","43 42 46 49 4C 45","WordPerfect dictionary"
".cbk","5F 43 41 53 45 5F","EnCase case file"
".cda","52 49 46 46","Resource Interchange File Format"
".cdr","52 49 46 46","CorelDraw document"
".cdr","4D 53 5F 56 4F 49 43 45","Sony Compressed Voice File"
".cdr","45 4C 49 54 45 20 43 6F","Elite Plus Commander game file"
".cfg","5B 66 6C 74 73 69 6D 2E","Flight Simulator Aircraft Configuration"
".chi","49 54 53 46","MS Compiled HTML Help File"
".chm","49 54 53 46","MS Compiled HTML Help File"
".class","CA FE BA BE","Java bytecode"
".clb","43 4F 4D 2B","COM+ Catalog"
".clb","43 4D 58 31","Corel Binary metafile"
".cmx","52 49 46 46","Corel Presentation Exchange metadata"
".cnv","53 51 4C 4F 43 4F 4E 56","DB2 conversion file"
".cod","4E 61 6D 65 3A 20","Agent newsreader character map"
".com","EB","Windows executable file_3"
".com","E9","Windows executable file_2"
".com","E8","Windows executable file_1"
".com","4D 5A","Windows|DOS executable file"
".cpe","46 41 58 43 4F 56 45 52","MS Fax Cover Sheet"
".cpi","FF 46 4F 4E 54","Windows international code page"
".cpi","53 49 45 54 52 4F 4E 49","Sietronics CPI XRD document"
".cpl","DC DC","Corel color palette"
".cpl","4D 5A","Control panel application"
".cpt","43 50 54 46 49 4C 45","Corel Photopaint file_2"
".cpt","43 50 54 37 46 49 4C 45","Corel Photopaint file_1"
".cpx","5B 57 69 6E 64 6F 77 73","Microsoft Code Page Translation file"
".cru","43 52 55 53 48 20 76","Crush compressed archive"
".crw","49 49 1A 00 00 00 48 45","Canon RAW file"
".csh","63 75 73 68 00 00 00 02","Photoshop Custom Shape"
".ctf","43 61 74 61 6C 6F 67 20","WhereIsIt Catalog"
".ctl","56 45 52 53 49 4F 4E 20","Visual Basic User-defined Control file"
".cur","00 00 02 00","Windows cursor"
".dat","73 6C 68 2E","Allegro Generic Packfile (uncompressed)"
".dat","57 4D 4D 50","Walkman MP3 file"
".dat","73 6C 68 21","Allegro Generic Packfile (compressed)"
".dat","73 6C 68 21","Allegro Generic Packfile (compressed)"
".dat","49 6E 6E 6F 20 53 65 74","Inno Setup Uninstall Log"
".dat","45 52 46 53 53 41 56 45","EasyRecovery Saved State file"
".dat","A9 0D 00 00 00 00 00 00","Access Data FTK evidence"
".dat","41 56 47 36 5F 49 6E 74","AVG6 Integrity database"
".dat","50 4E 43 49 55 4E 44 4F","Norton Disk Doctor undo file"
".dat","03","MapInfo Native Data Format"
".dat","55 46 4F 4F 72 62 69 74","UFO Capture map file"
".dat","52 49 46 46","Video CD MPEG movie"
".dat","43 6C 69 65 6E 74 20 55","IE History file"
".dat","50 45 53 54","PestPatrol data|scan strings"
".dat","4E 41 56 54 52 41 46 46","TomTom traffic data"
".dat","43 52 45 47","Win9x registry hive"
".dat","52 41 5A 41 54 44 42 31","Shareaza (P2P) thumbnail"
".dat","72 65 67 66","WinNT registry file"
".db","D0 CF 11 E0 A1 B1 1A E1","MSWorks database file"
".db","44 42 46 48","Palm Zire photo database"
".db","FD FF FF FF","Thumbs.db subheader"
".db","00 06 15 61 00 00 00 02 00 00 04 D2 00 00 10 00","Netscape Navigator (v4) database"
".db","08","dBASE IV or dBFast configuration file"
".db","53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00","SQLite database file"
".db3","03","dBASE III file"
".db4","04","dBASE IV file"
".dba","00 01 42 44","Palm DateBook Archive"
".dbb","6C 33 33 6C","Skype user data file"
".dbf","4F 50 4C 44 61 74 61 62","Psion Series 3 Database"
".dbx","CF AD 12 FE","Outlook Express e-mail folder"
".dci","3C 21 64 6F 63 74 79 70","AOL HTML mail"
".dcx","B1 68 DE 3A","PCX bitmap"
".dex","64 65 78 0A 30 30 39 00","Dalvik (Android) executable file"
".dib","42 4D","Bitmap image"
".dll","4D 5A","Windows|DOS executable file"
".dmg","78","MacOS X image file"
".dmp","50 41 47 45 44 55","Windows memory dump"
".dmp","4D 44 4D 50 93 A7","Windows dump file"
".dms","44 4D 53 21","Amiga DiskMasher compressed archive"
".doc","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".doc","0D 44 4F 43","DeskMate Document"
".doc","CF 11 E0 A1 B1 1A E1 00","Perfect Office document"
".doc","EC A5 C1 00","Word document subheader"
".doc","DB A5 2D 00","Word 2.0 file"
".docx","50 4B 03 04","MS Office Open XML Format Document"
".docx","50 4B 03 04 14 00 06 00","MS Office 2007 documents"
".dot","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".drv","4D 5A","Windows|DOS executable file"
".drw","07","Generic drawing programs"
".drw","01 FF 02 04 03 02","Micrografx vector graphic file"
".ds4","52 49 46 46","Micrografx Designer graphic"
".dsn","4D 56","CD Stomper Pro label file"
".dsp","23 20 4D 69 63 72 6F 73","MS Developer Studio project file"
".dss","02 64 73 73","Digital Speech Standard file"
".dsw","64 73 77 66 69 6C 65","MS Visual Studio workspace file"
".dtd","07 64 74 32 64 64 74 64","DesignTools 2D Design file"
".dun","5B 50 68 6F 6E 65 5D","Dial-up networking file"
".dvf","4D 53 5F 56 4F 49 43 45","Sony Compressed Voice File"
".dvr","44 56 44","DVR-Studio stream file"
".dw4","4F 7B","Visio|DisplayWrite 4 text file"
".dwg","41 43 31 30","Generic AutoCAD drawing"
".e01","45 56 46 09 0D 0A FF 00","Expert Witness Compression Format"
".e01","4C 56 46 09 0D 0A FF 00","Logical File Evidence Format"
".ecf","5B 47 65 6E 65 72 61 6C","MS Exchange configuration file"
".efx","DC FE","eFax file"
".eml","46 72 6F 6D","Generic e-mail_2"
".eml","52 65 74 75 72 6E 2D 50","Generic e-mail_1"
".eml","58 2D","Exchange e-mail"
".enl","40 40 40 20 00 00 40 40 40 40","EndNote Library File"
".eps","25 21 50 53 2D 41 64 6F","Encapsulated PostScript file"
".eps","C5 D0 D3 C6","Adobe encapsulated PostScript"
".eth","1A 35 01 00","WinPharoah capture file"
".evt","30 00 00 00 4C 66 4C 65","Windows Event Viewer file"
".evtx","45 6C 66 46 69 6C 65 00","Windows Vista event log"
".exe","4D 5A","Windows|DOS executable file"
".fdf","25 50 44 46","PDF file"
".flac","66 4C 61 43 00 00 00 22","Free Lossless Audio Codec file"
".fli","00 11","FLIC animation"
".flt","76 32 30 30 33 2E 31 30","Qimage filter"
".flt","4D 5A 90 00 03 00 00 00","Audition graphic filter"
".flv","46 4C 56","Flash video file"
".fm","3C 4D 61 6B 65 72 46 69","Adobe FrameMaker"
".fon","4D 5A","Font file"
".ftr","D2 0A 00 00","WinPharoah filter file"
".gho","FE EF","Symantex Ghost image file"
".ghs","FE EF","Symantex Ghost image file"
".gid","4C 4E 02 00","Windows help file_3"
".gid","3F 5F 03 00","Windows Help file_2"
".gif","47 49 46 38","GIF file"
".gpg","99","GPG public keyring"
".grp","50 4D 43 43","Windows Program Manager group file"
".gx2","47 58 32","Show Partner graphics file"
".gz","1F 8B 08","GZIP archive file"
".hap","91 33 48 46","Hamarsoft compressed archive"
".hdmp","4D 44 4D 50 93 A7","Windows dump file"
".hdr","49 53 63 28","Install Shield compressed file"
".hdr","23 3F 52 41 44 49 41 4E","Radiance High Dynamic Range image file"
".hip","48 69 50 21","Houdini image file. Three-dimensional modeling and animation"
".hlp","3F 5F 03 00","Windows Help file_2"
".hlp","00 00 FF FF FF FF","Windows Help file_1"
".hlp","4C 4E 02 00","Windows help file_3"
".hqx","28 54 68 69 73 20 66 69","BinHex 4 Compressed Archive"
".ico","00 00 01 00","Windows icon|printer spool file"
".idx","41 4F 4C 44 42","AOL user configuration"
".idx","50 00 00 00 20 00 00 00","Quicken QuickFinder Information File"
".idx","41 4F 4C","AOL config files"
".ifo","44 56 44","DVD info file"
".img","50 49 43 54 00 08","ChromaGraph Graphics Card Bitmap"
".img","EB 3C 90 2A","GEM Raster file"
".img","53 43 4D 49","Img Software Bitmap"
".ind","41 4F 4C","AOL config files"
".ind","41 4F 4C 49 44 58","AOL client preferences|settings file"
".info","E3 10 00 01 00 00 00 00","Amiga icon"
".info","7A 62 65 78","ZoomBrowser Image Index"
".info","54 68 69 73 20 69 73 20","GNU Info Reader file"
".iso","43 44 30 30 31","ISO-9660 CD Disc Image"
".ivr","2E 52 45 43","RealPlayer video file (V11+)"
".jar","5F 27 A8 89","Jar archive"
".jar","50 4B 03 04 14 00 08 00","Java archive_2"
".jar","50 4B 03 04","Java archive_1"
".jar","4A 41 52 43 53 00","JARCS compressed archive"
".jfif","FF D8 FF E0","JPEG IMAGE"
".jfif","FF D8 FF E0","JFIF IMAGE FILE - jpeg"
".jg","4A 47 04 0E","AOL ART file_2"
".jg","4A 47 03 0E","AOL ART file_1"
".jnt","4E 42 2A 00","MS Windows journal"
".jp2","00 00 00 0C 6A 50 20 20","JPEG2000 image files"
".jpe","FF D8 FF E0","JPE IMAGE FILE - jpeg"
".jpe","FF D8 FF E0","JPEG IMAGE"
".jpeg","FF D8 FF E3","SAMSUNG D500 JPEG FILE"
".jpeg","FF D8 FF E2","CANNON EOS JPEG FILE"
".jpeg","FF D8 FF E0","JPEG IMAGE"
".jpg","FF D8 FF E8","Still Picture Interchange File Format (SPIFF)"
".jpg","FF D8 FF E0","JPEG IMAGE"
".jpg","FF D8 FF E1","Digital camera JPG using Exchangeable Image File Format (EXIF)"
".jtp","4E 42 2A 00","MS Windows journal"
".kgb","4B 47 42 5F 61 72 63 68","KGB archive"
".koz","49 44 33 03 00 00 00","Sprint Music Store audio"
".kwd","50 4B 03 04","KWord document"
".lbk","C8 00 79 00","Jeppesen FliteLog file"
".lgc","7B 0D 0A 6F 20","Windows application log"
".lgd","7B 0D 0A 6F 20","Windows application log"
".lha","2D 6C 68","Compressed archive"
".lib","21 3C 61 72 63 68 3E 0A","Unix archiver (ar)|MS Program Library Common Object File Format (COFF)"
".lit","49 54 4F 4C 49 54 4C 53","MS Reader eBook"
".lnk","4C 00 00 00 01 14 02 00","Windows shortcut file"
".log","2A 2A 2A 20 20 49 6E 73","Symantec Wise Installer log"
".lwp","57 6F 72 64 50 72 6F","Lotus WordPro file"
".lzh","2D 6C 68","Compressed archive"
".m4a","00 00 00 20 66 74 79 70 4D 34 41","Apple audio and video files"
".manifest","3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D","Windows Visual Stylesheet"
