".*","00 14 00 00 01 02","BIOS details in RAM"
".mar","4D 41 72 30 00","MAr compressed archive"
".mar","4D 41 52 43","Microsoft|MSN MARC archive"
".mar","4D 41 52 31 00","Mozilla archive"
".mdb","00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42","Microsoft Access"
".mdf","01 0F 00 00","SQL Data Base"
".mdi","45 50","MS Document Imaging file"
".mid","4D 54 68 64","MIDI sound file"
".midi","4D 54 68 64","MIDI sound file"
".mif","56 65 72 73 69 6F 6E 20","MapInfo Interchange Format file"
".mif","3C 4D 61 6B 65 72 46 69","Adobe FrameMaker"
".mkv","1A 45 DF A3 93 42 82 88","Matroska stream file"
".mls","4D 56 32 43","Milestones project management file_2"
".mls","4D 4C 53 57","Skype localization data file"
".mls","4D 56 32 31 34","Milestones project management file_1"
".mls","4D 49 4C 45 53","Milestones project management file"
".mmf","4D 4D 4D 44 00 00","Yamaha Synthetic music Mobile Application Format"
".mny","00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65","Microsoft Money file"
".mof","FF FE 23 00 6C 00 69 00","MSinfo file"
".mov","6D 64 61 74","QuickTime movie_3"
".mov","66 72 65 65","QuickTime movie_2"
".mov","6D 6F 6F 76","QuickTime movie_1"
".mov","73 6B 69 70","QuickTime movie_6"
".mov","70 6E 6F 74","QuickTime movie_5"
".mov","77 69 64 65","QuickTime movie_4"
".mp","0C ED","Monochrome Picture TIFF bitmap"
".mp3","49 44 33","MP3 audio file"
".mp4","00 00 00 18 66 74 79 70","MPEG-4 video_1"
".mp4","00 00 00 14 66 74 79 70 69 73 6F 6D","MPEG-4 v1"
".mp4","00 00 00 1C 66 74 79 70","MPEG-4 video_2"
".m4v","00 00 00 18 66 74 79 70","MPEG-4 video_1"
".mpg","00 00 01 B3","MPEG video file"
".mpg","00 00 01 BA","DVD video file"
".msc","D0 CF 11 E0 A1 B1 1A E1","Microsoft Common Console Document"
".msc","3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3F 3E 0D 0A 3C 4D 4D 43 5F 43 6F 6E 73 6F 6C 65 46 69 6C 65 20 43 6F 6E 73 6F 6C 65 56 65 72","MMC Snap-in Control file"
".msi","D0 CF 11 E0 A1 B1 1A E1","Microsoft Installer package"
".msi","23 20","Cerius2 file"
".msv","4D 53 5F 56 4F 49 43 45","Sony Compressed Voice File"
".mtw","D0 CF 11 E0 A1 B1 1A E1","Minitab data file"
".nri","0E 4E 65 72 6F 49 53 4F","Nero CD compilation"
".nsf","1A 00 00 04 00 00","Lotus Notes database"
".nsf","4E 45 53 4D 1A 01","NES Sound file"
".ntf","30 31 4F 52 44 4E 41 4E","National Transfer Format Map"
".ntf","4E 49 54 46 30","National Imagery Transmission Format file"
".ntf","1A 00 00","Lotus Notes database template"
".nvram","4D 52 56 4E","VMware BIOS state file"
".obj","80","Relocatable object code"
".obj","4C 01","MS COFF relocatable object code"
".ocx","4D 5A","ActiveX|OLE Custom Control"
".odp","50 4B 03 04","OpenDocument template"
".odt","50 4B 03 04","OpenDocument template"
".oga","4F 67 67 53 00 02 00 00","Ogg Vorbis Codec compressed file"
".ogg","4F 67 67 53 00 02 00 00","Ogg Vorbis Codec compressed file"
".ogv","4F 67 67 53 00 02 00 00","Ogg Vorbis Codec compressed file"
".ogx","4F 67 67 53 00 02 00 00","Ogg Vorbis Codec compressed file"
".olb","4D 5A","OLE object library"
".one","E4 52 5C 7B 8C D8 A7 4D","MS OneNote note"
".opt","FD FF FF FF 20","Developer Studio subheader"
".opt","D0 CF 11 E0 A1 B1 1A E1","Developer Studio File Options file"
".org","41 4F 4C 56 4D 31 30 30","AOL personal file cabinet"
".ott","50 4B 03 04","OpenDocument template"
".p10","64 00 00 00","Intel PROset|Wireless Profile"
".pak","50 41 43 4B","Quake archive file"
".pak","1A 0B","PAK Compressed archive file"
".pat","47 50 41 54","GIMP pattern file"
".pax","50 41 58","PAX password protected bitmap"
".pch","56 43 50 43 48 30","Visual C PreCompiled header"
".pcx","0A 05 01 01","ZSOFT Paintbrush file_3"
".pcx","0A 03 01 01","ZSOFT Paintbrush file_2"
".pcx","0A 02 01 01","ZSOFT Paintbrush file_1"
".pdb","AC ED 00 05 73 72 00 12","BGBlitz position database file"
".pdb","73 7A 65 7A","PowerBASIC Debugger Symbols"
".pdb","73 6D 5F","PalmOS SuperMemo"
".pdb","4D 69 63 72 6F 73 6F 66 74 20 43 2F 43 2B 2B 20","MS C++ debugging symbols file"
".pdb","4D 2D 57 20 50 6F 63 6B","Merriam-Webster Pocket Dictionary"
".pdf","25 50 44 46","PDF file"
".pf","11 00 00 00 53 43 43 41","Windows prefetch file"
".pfc","41 4F 4C","AOL config files"
".pfc","41 4F 4C 56 4D 31 30 30","AOL personal file cabinet"
".pgd","50 47 50 64 4D 41 49 4E","PGP disk image"
".pgm","50 35 0A","Portable Graymap Graphic"
".pif","4D 5A","Windows|DOS executable file"
".pkr","99 01","PGP public keyring"
".png","89 50 4E 47 0D 0A 1A 0A","PNG image"
".pps","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".ppt","00 6E 1E F0","PowerPoint presentation subheader_1"
".ppt","FD FF FF FF 43 00 00 00","PowerPoint presentation subheader_6"
".ppt","FD FF FF FF 1C 00 00 00","PowerPoint presentation subheader_5"
".ppt","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".ppt","FD FF FF FF 0E 00 00 00","PowerPoint presentation subheader_4"
".ppt","A0 46 1D F0","PowerPoint presentation subheader_3"
".ppt","0F 00 E8 03","PowerPoint presentation subheader_2"
".pptx","50 4B 03 04","MS Office Open XML Format Document"
".pptx","50 4B 03 04 14 00 06 00","MS Office 2007 documents"
".ppz","4D 53 43 46","Powerpoint Packaged Presentation"
".prc","74 42 4D 50 4B 6E 57 72","PathWay Map file"
".prc","42 4F 4F 4B 4D 4F 42 49","Palmpilot resource file"
".psd","38 42 50 53","Photoshop image"
".psp","7E 42 4B 00","Corel Paint Shop Pro image"
".pub","D0 CF 11 E0 A1 B1 1A E1","MS Publisher file"
".pwi","7B 5C 70 77 69","MS WinMobile personal note"
".pwl","E3 82 85 96","Win98 password file"
".pwl","B0 4D 46 43","Win95 password file"
".qbb","45 86 00 00 06 00","QuickBooks backup"
".qcp","52 49 46 46","Resource Interchange File Format"
".qdf","AC 9E BD 8F 00 00","QDF Quicken data"
".qel","51 45 4C 20","QDL Quicken data"
".qemu","51 46 49","Qcow Disk Image"
".qph","03 00 00 00","Quicken price history"
".qsd","51 57 20 56 65 72 2E 20","ABD | QSD Quicken data file"
".qts","4D 5A","Windows|DOS executable file"
".qtx","4D 5A","Windows|DOS executable file"
".qxd","00 00 4D 4D 58 50 52","Quark Express (Motorola)"
".qxd","00 00 49 49 58 50 52","Quark Express (Intel)"
".ra","2E 72 61 FD 00","RealAudio streaming media"
".ra","2E 52 4D 46 00 00 00 12","RealAudio file"
".ram","72 74 73 70 3A 2F 2F","RealMedia metafile"
".rar","52 61 72 21 1A 07 00","WinRAR compressed archive"
".reg","FF FE","Windows Registry file"
".reg","52 45 47 45 44 49 54","WinNT Registry|Registry Undo files"
".rgb","01 DA 01 01 00 03","Silicon Graphics RGB Bitmap"
".rm","2E 52 4D 46","RealMedia streaming media"
".rmi","52 49 46 46","Resource Interchange File Format"
".rmvb","2E 52 4D 46","RealMedia streaming media"
".rpm","ED AB EE DB","RedHat Package Manager"
".rtd","43 23 2B 44 A4 43 4D A5","RagTime document"
".rtf","7B 5C 72 74 66 31","RTF file"
".rvt","D0 CF 11 E0 A1 B1 1A E1","Revit Project file"
".sam","5B 76 65 72 5D","Lotus AMI Pro document_2"
".sam","5B 56 45 52 5D","Lotus AMI Pro document_1"
".sav","24 46 4C 32 40 28 23 29","SPSS Data file"
".scr","4D 5A","Screen saver"
".sdr","53 4D 41 52 54 44 52 57","SmartDraw Drawing file"
".sh3","48 48 47 42 31","Harvard Graphics presentation file"
".shd","4B 49 00 00","Win9x printer spool file"
".shd","66 49 00 00","WinNT printer spool file"
".shd","68 49 00 00","Win Server 2003 printer spool file"
".shd","67 49 00 00","Win2000|XP printer spool file"
".shw","53 48 4F 57","Harvard Graphics presentation"
".sit","53 74 75 66 66 49 74 20","StuffIt compressed archive"
".sit","53 49 54 21 00","StuffIt archive"
".skf","07 53 4B 46","SkinCrafter skin"
".skr","95 01","PGP secret keyring_2"
".skr","95 00","PGP secret keyring_1"
".sle","3A 56 45 52 53 49 4F 4E","Surfplan kite project file"
".sle","41 43 76","Steganos virtual secure drive"
".sln","4D 69 63 72 6F 73 6F 66 74 20 56 69 73 75 61 6C","Visual Studio .NET file"
".snm","00 1E 84 90 00 00 00 00","Netscape Communicator (v4) mail folder"
".snp","4D 53 43 46","MS Access Snapshot Viewer file"
".sou","D0 CF 11 E0 A1 B1 1A E1","Visual Studio Solution User Options file"
".spl","00 00 01 00","Windows icon|printer spool file"
".spo","D0 CF 11 E0 A1 B1 1A E1","SPSS output file"
".sud","52 45 47 45 44 49 54","WinNT Registry|Registry Undo files"
".suo","FD FF FF FF 04","Visual Studio Solution subheader"
".swf","46 57 53","Shockwave Flash player"
".swf","43 57 53","Shockwave Flash file"
".sxc","50 4B 03 04","StarOffice spreadsheet"
".sxd","50 4B 03 04","OpenOffice documents"
".sxi","50 4B 03 04","OpenOffice documents"
".sxw","50 4B 03 04","OpenOffice documents"
".sys","4D 5A","Windows|DOS executable file"
".sys","FF FF FF FF","DOS system driver"
".sys","FF","Windows executable"
".sys","EB","Windows executable file_3"
".sys","E9","Windows executable file_2"
".sys","E8","Windows executable file_1"
".sys","FF 4B 45 59 42 20 20 20","Keyboard driver file"
".syw","41 4D 59 4F","Harvard Graphics symbol graphic"
".tar","75 73 74 61 72","Tape Archive"
".tar.bz2","42 5A 68","bzip2 compressed archive"
".tar.z","1F A0","Compressed tape archive_2"
".tar.z","1F 9D 90","Compressed tape archive_1"
".tb2","42 5A 68","bzip2 compressed archive"
".tbz2","42 5A 68","bzip2 compressed archive"
".tib","B4 6E 68 44","Acronis True Image"
".tif","4D 4D 00 2B","TIFF file_4"
".tif","4D 4D 00 2A","TIFF file_3"
".tif","49 49 2A 00","TIFF file_2"
".tif","49 20 49","TIFF file_1"
".tiff","4D 4D 00 2B","TIFF file_4"
".tiff","4D 4D 00 2A","TIFF file_3"
".tiff","49 49 2A 00","TIFF file_2"
".tiff","49 20 49","TIFF file_1"
".tlb","4D 53 46 54 02 00 01 00","OLE|SPSS|Visual C++ library file"
".tr1","01 10","Novell LANalyzer capture file"
".uce","55 43 45 58","Unicode extensions"
".ufa","55 46 41 C6 D2 C1","UFA compressed archive"
".vbx","4D 5A","VisualBASIC application"
".vcd","45 4E 54 52 59 56 43 44","VideoVCD|VCDImager file"
".vcf","42 45 47 49 4E 3A 56 43","vCard"
".vcw","5B 4D 53 56 43","Visual C++ Workbench Info File"
".vhd","63 6F 6E 65 63 74 69 78","Virtual PC HD image"
".vmdk","4B 44 4D","VMware 4 Virtual Disk"
".vmdk","23 20 44 69 73 6B 20 44","VMware 4 Virtual Disk description"
".vmdk","43 4F 57 44","VMware 3 Virtual Disk"
".vob","00 00 01 BA","DVD video file"
".vsd","D0 CF 11 E0 A1 B1 1A E1","Visio file"
".vxd","4D 5A","Windows virtual device drivers"
".wab","81 32 84 C1 85 05 D0 11","Outlook Express address book (Win95)"
".wab","9C CB CB 8D 13 75 D2 11","Outlook address file"
".wav","52 49 46 46","Resource Interchange File Format"
".wb2","00 00 02 00","QuattroPro spreadsheet"
".wb3","3E 00 03 00 FE FF 09 00 06","Quatro Pro for Windows 7.0"
".wiz","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".wk1","00 00 02 00 06 04 06 00","Lotus 1-2-3 (v1)"
".wk3","00 00 1A 00 00 10 04 00","Lotus 1-2-3 (v3)"
".wk4","00 00 1A 00 02 10 04 00","Lotus 1-2-3 (v4|v5)"
".wk5","00 00 1A 00 02 10 04 00","Lotus 1-2-3 (v4|v5)"
".wks","FF 00 02 00 04 04 05 54","Works for Windows spreadsheet"
".wks","0E 57 4B 53","DeskMate Worksheet"
".wma","30 26 B2 75 8E 66 CF 11","Windows Media Audio|Video File"
".wmf","D7 CD C6 9A","Windows graphics metafile"
".wmv","30 26 B2 75 8E 66 CF 11","Windows Media Audio|Video File"
".wmz","50 4B 03 04","Windows Media compressed skin file"
".wp","FF 57 50 43","WordPerfect text and graphics"
".wp5","FF 57 50 43","WordPerfect text and graphics"
".wp6","FF 57 50 43","WordPerfect text and graphics"
".wpd","FF 57 50 43","WordPerfect text and graphics"
".wpf","81 CD AB","WordPerfect text"
".wpg","FF 57 50 43","WordPerfect text and graphics"
".wpl","4D 69 63 72 6F 73 6F 66 74 20 57 69 6E 64 6F 77 73 20 4D 65 64 69 61 20 50 6C 61 79 65 72 20 2D 2D 20","Windows Media Player playlist"
".wpp","FF 57 50 43","WordPerfect text and graphics"
".wps","D0 CF 11 E0 A1 B1 1A E1","MSWorks text document"
".wri","BE 00 00 00 AB","MS Write file_3"
".wri","32 BE","MS Write file_2"
".wri","31 BE","MS Write file_1"
".ws","1D 7D","WordStar Version 5.0|6.0 document"
".ws2","57 53 32 30 30 30","WordStar for Windows file"
".xdr","3C","BizTalk XML-Data Reduced Schema"
".xla","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".xls","FD FF FF FF 28","Excel spreadsheet subheader_6"
".xls","FD FF FF FF 23","Excel spreadsheet subheader_5"
".xls","D0 CF 11 E0 A1 B1 1A E1","Microsoft Office document"
".xls","FD FF FF FF 22","Excel spreadsheet subheader_4"
".xls","FD FF FF FF 1F","Excel spreadsheet subheader_3"
".xls","FD FF FF FF 10","Excel spreadsheet subheader_2"
".xls","09 08 10 00 00 06 05 00","Excel spreadsheet subheader_1"
".xls","FD FF FF FF 29","Excel spreadsheet subheader_7"
".xlsx","50 4B 03 04 14 00 06 00","MS Office 2007 documents"
".xlsx","50 4B 03 04","MS Office Open XML Format Document"
".xml","3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3F 3E","User Interface Language"
".xpi","50 4B 03 04","Mozilla Browser Archive"
".xps","50 4B 03 04","XML paper specification file"
".xpt","50 4B 03 04","eXact Packager Models"
".xpt","58 50 43 4F 4D 0A 54 79","XPCOM libraries"
".zap","4D 5A 90 00 03 00 00 00 04 00 00 00 FF FF","ZoneAlam data file"
".zip","50 4B 53 70 58","PKSFX self-extracting archive"
".zip","50 4B 03 04","PKZIP archive_1"
".zip","50 4B 53 70 58","PKSFX self-extracting archive"
".zip","50 4B 4C 49 54 45","PKLITE archive"
".zip","57 69 6E 5A 69 70","WinZip compressed archive"
".zip","50 4B 03 04 14 00 01 00","ZLock Pro encrypted ZIP"
".zip","50 4B 07 08","PKZIP archive_3"
".zoo","5A 4F 4F 20","ZOO compressed archive"
".iso","33 ED 90","ISO"
".py","23 21 2F 75 73 72 2F 62 69 6E 2F 70 79 74 68 6F 6E","Python script"
".py","23 21 2F 75 73 72 2F 62 69 6E 2F 65 6E 76 20 70 79 74 68 6F 6E","Python script"
".xml","3C 78 6D 6C","XML code"
".bat","40 65 63 68 6F","MS-DOS script"
